Artists_Accession_Number,Art_Term
"1166","Computer Art"
"1166","Drawing"
"1166","Photography"
"1168","Installation"
"1168","Mixed Media"
"1168","Painting"
"1168","Photography"
"1169","Painting"
"1170","Airbrush"
"1170","Computer Art"
"1170","Drawing"
"1170","Painting"
"1170","Photography"
"1171","Jewelry"
"1172","Mixed Media"
"1174","Drawing"
"1175","Installation"
"1175","Murals"
"1175","Painting"
"1175","Photography"
"1175","Sculpture"
"1175","Works on Paper"
"1177","Photography"
"1178","Sculpture"
"1179","Fiber Art"
"1180","Murals"
"1180","Painting"
"1181","Printmaking"
"1183","Drawing"
"1183","Painting"
"1183","Sculpture"
"1185","Fashion Design"
"1185","Multimedia"
"1185","Sculpture"
"1185","Textiles"
"1185","Video Art"
"1186","Sculpture"
"1188","Sculpture"
"1189","Painting"
"1189","Wood Block Printing"
"1191","Glass"
"1192","Painting"
"1193","Painting"
"1195","Sculpture"
"1196","Drawing"
"1196","Photography"
"1197","Sculpture"
"1198","Fiber Art"
"1199","Painting"
"1199","Portraits"
"1200","Calligraphy"
"1201","Murals"
"1203","Painting"
"1204","Photography"
"1205","Painting"
"1206","Construction"
"1206","Mixed Media"
"1208","Illustration"
"1208","Painting"
"1208","Printmaking"
"1209","Photography"
"1210","Drawing"
"1211","Mixed Media"
"1211","Textiles"
"1212","Design"
"1212","Murals"
"1212","Painting"
"1212","Sculpture"
"1213","Computer Art"
"1214","Painting"
"1214","Portraits"
"1215","Ceramics"
"1215","Sculpture"
"1216","Metalwork"
"1216","Sculpture"
"1217","Murals"
"1217","Painting"
"1218","Painting"
"1219","Collage"
"1219","Painting"
"1220","Painting"
"1221","Advertising Design"
"1221","Industrial Design"
"1221","Watercolor"
"1223","Painting"
"1224","Murals"
"1224","Painting"
"1225","Murals"
"1225","Painting"
"1226","Performance Art"
"1226","Photography"
"1228","Painting"
"1229","Painting"
"1230","Painting"
"1231","Calligraphy"
"1231","Ketubot"
"1232","Sculpture"
"1234","Photography"
"1234","Watercolor"
"1235","Interior Design"
"1235","Stained Glass"
"1236","Installation"
"1236","Murals"
"1237","Painting"
"1238","Photography"
"1239","Painting"
"1240","Painting"
"1241","Painting"
"1242","Architecture"
"1242","Design"
"1243","Drawing"
