Artist_Accession_Number,Article_Citation
"2266","Chicago Tribune, Feb. 8, 1970"
"7951","Chicago Tribune, February 14,1986, Section 2, page 10."
"5008","Chicago Tribune, Jan. 11, 1998, sect. 5, p. 2"
"6800","Chicago Tribune, Jan. 5, 1986"
"3698","Chicago Tribune, Jan. 6, 1988, sect. 7, p. 10"
"7263","Chicago Tribune, July 12, 1985, sect. 2, p. 2"
"5377","Chicago Tribune, July 15, 1986, sect. C, p. 1"
"8018","Chicago Tribune, July 15, 1988, section 7, page 56"
"2900","Chicago Tribune, July 23, 1987, sect. ?, pp. 1, 6"
"8094","Chicago Tribune, July 30, 1987, section 2, page 11 (obituary)"
"2900","Chicago Tribune, July 31, 1987, sect. 7, p. 53"
"7783","Chicago Tribune, July 4, 1987, sect. 1, p. 5"
"1154","Chicago Tribune, June 10, 1988, s7, p54"
"1835","Chicago Tribune, June 26, 1988, sec. 15, p12"
"7974","Chicago Tribune, June 29, 1986, section 3, page 1"
"3767","Chicago Tribune, June 6, 1986, sect. 7, p. 38"
"1508","Chicago Tribune, May 1, 1987, Sect. 7, p. 9"
"2779","Chicago Tribune, May 12, 1985, sect. 2, p. 7, obit."
"4061","Chicago Tribune, May 2, 1986, sect. 7, p. 45"
"7263","Chicago Tribune, May 30, 1985, sect. 5, p. 13E"
"2227","Chicago Tribune, May 4, 1988, sect. 7, pp21-22, 24"
"2211","Chicago Tribune, Nov. 6, 1988"
"1013","Chicago Tribune, November 27, 1973"
"7974","Chicago Tribune, Oct. 12, 1986, Tempo pp.1,4"
"2163","Chicago Tribune, Oct. 16, 1987, sect. 7, p. 102"
"3149","Chicago Tribune, Oct. 20, 1985, sect. 2, p. 1"
