Artist_Accession_Number,call_number,pages,notes
"155","N6510.F34 1990","",""
"155","N6536.W56 1999","",""
"156","N6510.F34 1990","",""
"156","N6536.W56 1999","",""
"157","N11.C5Y6","",""
"157","N5020.C5C564 1957","",""
"157","N6510.F34 1990","",""
"157","N6536.W56 1999","",""
"158","N6535.C5C467 1989","",""
"161","NX650.S68S685 2011","",""
"161","NX650.S68S96 1994","",""
"163","N6535.C5C467 1989","",""
"164","N6530.I4A37 1983","",""
"164","N6535.C4C53","",""
"165","N6536.W56 1999","",""
"165","NC997.A1T8","",""
"166","N6535.C4N3 1976","",""
"166","N6535.C5C467 1989","",""
"166","N72.S6G69 2010","",""
"166","NK3655.F67 2004","",""
"166","NX511.C45A78 1996","",""
"167","N6490.R62 2000","",""
"169","N6530.I4S73","",""
"169","N6535.W56 1999","",""
"169","Z5961.C45B59 1991","",""
"170","N11.C5Y6","",""
"171","N6535.C5R4 2011","",""
"174","NC95.5.A2508 2000","",""
"175","N6510.F34 1990","",""
"175","N6512.F26 1985","",""
"175","N6536.W56 1999","",""
"176","N6535.C5C467 1989","",""
"176","N6538.H58A34 1988","",""
"176","ND2638.C4G73 2001","",""
"177","N5020.C5C564 1957","",""
"177","N6535.C5C45 2000","",""
"177","N6535.C5C467 1989","",""
"177","N6537.5.P47 1990","",""
"177","N8354.W66 1986","",""
"177","NB1208.M44","",""
"178","N6510.F34 1990","",""
"178","N6512.F26 1985","",""
"178","N6535.C5C476 2004","",""
"178","N6535.C5O43 1990","",""
"178","N6536.W56 1999","",""
"178","ND235.C45G74 2004","",""
"178","Z5961.C45B59 1991","",""
"180","N6510.F34 1990","",""
"180","N6512.C5(missing)","",""
"180","N6512.F26 1985","",""
"180","N6536.W56 1999","",""
"180","N6538.J4Y64 1989","",""
"180","ND1245.C5J32","",""
"180","ND235.C45N49 1993","",""
"180","Z5961.C45B59 1991","",""
"182","N6537.5.P47 1990","",""
"183","N6510.F34 1990","",""
"183","N6512.F26 1985","",""
"183","N6530.I4I5","",""
"183","N6530.I4S73","",""
"183","N6535.C5C36 1999","",""
"183","N6535.C5C47","",""
"183","N6536.W56 1999","",""
"183","N8640.R527C3","",""
"183","NC269.A65A643","",""
"183","PN2096.A5F5","",""
"183","Z5961.C45B59 1991","",""
"189","N531.A63A5 1993","",""
"189","N6535.C5C49 1989","",""
"189","N8354.C49 1990","",""
"189","NB198.6.K72","",""
"190","N6512.F26 1985","",""
"190","N6530.I4S73","",""
"190","N6536.W56 1999","",""
"192","N6535.C5C467 1989","",""
"193","N5020.C5C564 1957","",""
"193","N6512.F26 1985","",""
"193","N6536.W56 1999","",""
"201","AM7 .A78 2005","",""
"201","N6535.C5C467 1989","",""
"202","N6512.F26 1985","",""
"202","N6512.I32C43","",""
"202","N6530.I4S73","",""
"202","N6536.W56 1999","",""
"202","N8640.R527C3","",""
"203","N6536.W56 1999","",""
"203","ND230.I3A5","",""
"205","N6530.I4S73","",""
"206","N6490.R62 2000","",""
"207","N6535.C5M3","",""
"207","N6535.C5M55","",""
"207","N6536.W56 1999","",""
"209","N6535.C5C467 1989","",""
"210","N6535.C5C45 1999","",""
"210","N6535.C5C45 2000","",""
"210","N6535.C5C467 1989","",""
"212","N11.C5Y6","",""
"212","N5020.C5C564 1957","",""
"212","N6510.F34 1990","",""
"212","N6512.F26 1985","",""
"212","N6530.I4A37 1983","",""
"212","N6530.I4I43 1981","",""
"212","N6530.I4S73","",""
"212","N6535.C5C476 2004","",""
"212","N6535.C5O43","",""
"212","N6536.W56 1999","",""
"212","N6538.J4Y64 1989","",""
"212","N7575.A78 2001","",""
"212","N8650.L467","",""
"212","N8665.R53 1997","",""
"212","ND1245.C5J32","",""
"212","ND235.C45G74 2004","",""
"212","ND235.C4E96 1933","",""
"212","ND237.A67J3 1929a","",""
"212","Z5961.C45B59 1991","",""
"213","N5020.C57N67 1992","",""
"213","N6535.C5C467 1989","",""
"219","TR646.U6 M5688 1973","",""
"220","N6510.F34 1990","",""
"220","N6512.F26 1985","",""
"220","N6536.W56 1999","",""
"222","N6510.F34 1990","",""
"222","N6512.F26 1985","",""
"222","N6536.W56 1999","",""
"223","N6510.F34 1990","",""
"223","N6512.F26 1985","",""
"223","N6536.W56 1999","",""
"224","N6512.F26 1985","",""
"224","N6530.I4S73","",""
"224","N6536.W56 1999","",""
"226","N11.C5Y6","",""
"462","NC999.4.B43R46 1996","",""
"463","ND2636.C4G73 2001","",""
"466","N6535.C5C467 1989","",""
"466","ND237.B42A4 1988","",""
"468","N6512.F26 1985","",""
"468","N6530.I4S73","",""
"468","N6536.W56 1999","",""
"474","N5220.F76F75 2002","",""
"479","N6534.C5C45 2000","",""
"482","N6530.I4A4","",""
"485","N6535.C5C45 1999","",""
"485","N6535.C5C475","",""
"485","NB198.6.C75 2006","",""
"485","NB235.C45N5 2010","",""
"485","NK3655.F67 2004","",""
"485","SB466.U65C563 2004","",""
"487","N6535.C5C467 1989","",""
"488","N6512.F26 1985","",""
"490","N6512.L36 1989","",""
"490","N6535.C5C45 1998","",""
"490","N6535.C5C45 1999","",""
"490","N6537.5.P47 1990","",""
"490","N8354.C49 1990","",""
"493","N6535.C5S86 1998","",""
"494","N6512.F26 1985","",""
"494","N6530.I4S73","",""
"494","N6536.W56 1999","",""
"496","ND1311.3.D5","",""
"500","N5020.C47N36 1980","",""
"503","NC997.A1T8","",""
"504","N6512.F26 1985","",""
"504","N6530.I4S73","",""
"504","N6536.W56 1999","",""
"504","NB205.T3 1930","",""
"505","N6530.I4S73","",""
"507","N6535.C5C467 1989","",""
"511","N6512.F26 1985","",""
"511","N6536.W56 1999","",""
"512","N6535.C5C45 1999","",""
"513","N5020.C55 yr. 1942 v. 46","",""
"513","N6512.F26 1985","",""
"513","N6530.I4S73","",""
"513","N6535.C4C53","",""
"513","N7575.A78 2001","",""
"513","ND1245.C5J32","",""
"518","N5020.C5C563 1987","",""
